date,Account,net_pnl,pnl_std,max_adverse_excursion,total_gross_win,total_gross_loss,total_volume,trade_frequency,win_rate,avg_leverage,aggression_score,is_long_sum,is_short_sum,margin_used_sum,sentiment_score,sentiment_class,profit_factor,roe,risk_adjusted_return,avg_trade_size,pnl_efficiency,avg_loss_severity,long_short_ratio,panic_score,risk_sentiment_interaction,prev_net_pnl,prev_total_volume,prev_sentiment_score,prev_win_rate,prev_avg_leverage,target_profitable_next_day
2024-10-27 00:00:00+00:00,0x083384f897ee0f19899168e3b1bec365f52a9012,-327505.900056,5734.473080086226,-117990.1041,1603.1,329109.000056,6842632.02,462,0.025974025974025976,-91.0621743621642,0.11904761904761904,139,323,-164584.7014,74.0,Greed,0.004871030569590082,1.9898927255701786,-57.11176868077223,14810.891818181817,-0.0478625621104202,731.3533334577778,0.43034055727554177,-29969381.14725698,-6738.600902800151,,,,,,1.0
2025-02-19 00:00:00+00:00,0x083384f897ee0f19899168e3b1bec365f52a9012,1927735.720035,4509.25681820803,-19841.24014,2030102.166092,102366.446057,54854631.95,3356,0.40554231227651966,-10.49586385457168,0.11114421930870083,1572,1784,-4597739.1235,44.0,Fear,19.83171482735263,-0.4192790561304234,427.50630486401934,16345.241939809297,0.035142624269034035,51.311501782957386,0.8811659192825112,-1074424.281090628,-461.8180096011539,-327505.900056,6842632.02,74.0,0.025974025974025976,-91.0621743621642,0.0
2024-10-27 00:00:00+00:00,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,20607.446093000002,214.00588685637516,0.0,20607.446093000002,0.0,797679.97,320,0.53125,64.34214855382565,0.921875,145,175,604474.36703572,74.0,Greed,100.0,0.03409151358072766,96.29382815450394,2492.74990625,0.025834227845786328,0.0,0.8285714285714286,0.0,4761.318992983098,,,,,,1.0
2025-02-19 00:00:00+00:00,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,17098.727055,176.8546695708923,-6820.76955,50463.991013,33365.263958,5982611.5,3533,0.43504104160769885,366.1207594798879,0.9714123973959807,1528,2005,76100560.90497829,44.0,Fear,1.5124709061652792,0.00022468595305558974,96.68236126581868,1693.3516841211435,0.002858070769763338,16.71606410721443,0.7620947630922693,12215715.780549891,16109.313417115069,20607.446093000002,797679.97,74.0,0.53125,64.34214855382565,1.0
2025-06-15 00:00:00+00:00,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,10179.147366,36.79304843139863,-1162.026288,19927.373489,9748.226123,5255196.19,3427,0.44236941931718704,81.40561927771226,0.5599649839509775,1382,2045,4698531.7373775,50.0,Neutral,2.0442050930664486,0.0021664528271722436,276.65952673041545,1533.4683950977533,0.001936968097474587,5.1011125709052845,0.6757946210268949,793560.3844019871,4070.280963885613,17098.727055,5982611.5,44.0,0.43504104160769885,366.1207594798879,0.0
2024-07-03 00:00:00+00:00,0x271b280974205ca63b716753467d5a371de622ab,-1.0,0.28678926060785465,-0.6204,0.0,1.0,30351.0,5,0.0,-401.40289966222326,1.0,2,3,-159.43,50.0,Neutral,0.0,0.006272345229881453,-3.486880916950946,6070.2,-3.2947843563638756e-05,0.2,0.6666666666666666,-401.40289966222326,-20070.144983111164,,,,,,1.0
2024-10-27 00:00:00+00:00,0x271b280974205ca63b716753467d5a371de622ab,1793.1602149999999,687.2601274797265,0.0,1793.1602149999999,0.0,159708.30000000002,5,0.8,-2448.4938007666615,0.8,3,2,345.7797,74.0,Greed,100.0,5.185845829006156,2.609143384435461,31941.660000000003,0.011227720882383694,0.0,1.5,-0.0,-181188.54125673295,-1.0,30351.0,50.0,0.0,-401.40289966222326,1.0
2025-02-19 00:00:00+00:00,0x271b280974205ca63b716753467d5a371de622ab,29970.928216,110.84882980936581,-122.02974,30228.544604,257.61638800000003,12310719.5,1136,0.43045774647887325,-534.1808730663794,0.5035211267605634,506,630,3612.1562499999995,44.0,Fear,117.33936974537504,8.297240247013125,270.37658645150356,10836.90096830986,0.002434539119829674,0.39817061514683155,0.8031746031746032,-137613.74705804716,-23503.958414920693,1793.1602149999999,159708.30000000002,74.0,0.8,-2448.4938007666615,0.0
2025-06-15 00:00:00+00:00,0x271b280974205ca63b716753467d5a371de622ab,-102199.279749,642.6836136687241,-25818.75012,30919.12709,133118.406839,21372661.62,2663,0.246714232069095,-241.3998069585545,0.718362748779572,1055,1608,-39039173.913754754,50.0,Neutral,0.23226785704696065,0.002617864813809288,-159.01958222584986,8025.783559894856,-0.004781775969978605,66.36012305034896,0.6560945273631841,-32134757.71356492,-12069.990347927725,29970.928216,12310719.5,44.0,0.43045774647887325,-534.1808730663794,0.0
2024-10-27 00:00:00+00:00,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,121880.386016,105.02535169179028,-240.452221,126299.798148,4419.412132,3129795.22,6472,0.4437577255871446,426.56663813249406,0.9568912237330037,3086,3386,107926588.18532003,74.0,Greed,28.5784159466574,0.0011292897150303686,1160.4853880772796,483.5901143386898,0.03894196822755707,1.2276144811111112,0.9113998818665091,1885173.7756691983,31565.93122180456,,,,,,1.0
2025-02-19 00:00:00+00:00,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,10435.095669,120.35238337829021,-7784.162915,44857.849744,34422.754075,3622817.7,6794,0.4327347659699735,981.4877013704483,0.934206652929055,3606,3188,129201444.69330953,44.0,Fear,1.3031452871627909,8.076609122885732e-05,86.70452031016725,533.2378127759788,0.0028803811102612203,8.9316954008822,1.131116687578419,33785509.77191198,43185.458860299725,121880.386016,3129795.22,74.0,0.4437577255871446,426.56663813249406,1.0
