,sentiment_score,net_pnl,total_volume,avg_leverage,aggression_score,win_rate,panic_score,long_short_ratio
sentiment_score,1.0,-0.21375038189147152,-0.32814657934526603,-0.14048116802489388,0.09362716901340443,-0.06891956595857676,-0.20515809201992372,0.012824127404599964
net_pnl,-0.21375038189147152,1.0,0.47465553987800563,0.052065926677271675,-0.13278166295482202,0.4189603529667907,0.14266339736216044,-0.16260229277910904
total_volume,-0.32814657934526603,0.47465553987800563,1.0,0.20701607567952685,-0.0941789233334816,0.0956294303789617,0.4240128838912693,0.0643864318485234
avg_leverage,-0.14048116802489388,0.052065926677271675,0.20701607567952685,1.0,0.2222835796011688,-0.11865447243436464,0.7455221938629655,0.1793670500442046
aggression_score,0.09362716901340443,-0.13278166295482202,-0.0941789233334816,0.2222835796011688,1.0,-0.12180650468366505,0.13002571665156012,0.10502523013402205
win_rate,-0.06891956595857676,0.4189603529667907,0.0956294303789617,-0.11865447243436464,-0.12180650468366505,1.0,-0.02545746004997519,-0.270372469441038
panic_score,-0.20515809201992372,0.14266339736216044,0.4240128838912693,0.7455221938629655,0.13002571665156012,-0.02545746004997519,1.0,0.02198747103100283
long_short_ratio,0.012824127404599964,-0.16260229277910904,0.0643864318485234,0.1793670500442046,0.10502523013402205,-0.270372469441038,0.02198747103100283,1.0
